위도,경도
37.61720757,126.9095009
37.58529456,126.9184918
37.6142152,126.9172354
37.61351208,126.9083881
37.60385832,126.9346336
37.61097566,126.937545
37.61233716,126.9286683
37.60483507,126.9181753
37.61685241,126.9208672
37.61535009,126.9152254
37.61815075,126.9180053
37.5992858,126.9153452
37.62164882,126.9261334
37.62057616,126.9250953
37.61813875,126.9206334
37.60112098,126.9130649
37.64256148,126.9174581
37.63433061,126.9266083
37.59281423,126.9063122
37.61752452,126.9135854
37.61633833,126.9257566
37.64447119,126.9250688
37.61704117,126.9218046
37.61794307,126.9238758
37.61731545,126.9232279
37.58703964,126.9201423
37.62008512,126.9216361
37.60759493,126.9135598
37.59356018,126.9168663
37.599526,126.90743
